No.,No. Rujukan,No. Pendaftaran MAL,Nama Produk, Pemegang,Pengilang,Tempoh Pendaftaran,nan,Catatan
1,202010274414N,MAL201260 34N,EXCELAB CALCIUM CARBONATE 1300MG POWDER,"EXCEL HERBAL INDUSTRIES SDN BHD,","EXCEL HERBAL INDUSTRIES SDN BHD,",14/12/2020,14/12/2025,New Product Registration
2,202009294293N,MAL201260 35NC,DSY SELENIUM 200MCG CAPSULE,"CTA NUTRICEUTICALS (ASIA) SDN BHD,","HERBAL SCIENCE SDN BHD,",14/12/2020,14/12/2025,New Product Registration
3,202009034214N,MAL201260 36NC,SYNERGEN ALA- 300 TABLETS,"SYNERCAM (M) SDN BHD,","STERIL-GENE LIFE SCIENCES (P) LTD, INDIA.",14/12/2020,14/12/2025,New Product Registration
4,202009034215N,MAL201260 61NC,SYNERGEN ALA- 600 TABLETS,"SYNERCAM (M) SDN BHD,","STERIL-GENE LIFE SCIENCES (P) LTD,INDIA.",14/12/2020,14/12/2025,New Product Registration
5,202007143963N,MAL201260 37NCZ,VCP ASCORBIC ACID (VIT C) 1000MG POWDER,"NZ PROJECT REPUBLIC SDN BHD,","RUZA RESOURCES MANUFACTURI NG SDN BHD,",14/12/2020,14/12/2025,New Product Registration
6,202006263902N,202006263 902N,GKB LACTOBACILLUS PLANTARUM GKM3 200MG CAPSULE,"GK BIO INTERNATIONAL SDN. BHD., SELANGOR","EXCEL HERBAL INDUSTRIES SDN. BHD., SELANGOR",14/12/2020,14/12/2025,New Product Registration
7,202011024434N,MAL201260 39NC,VITAMODE® COGNIPRO TABLET,"VITAMODE SDN.BHD, PULAU PINANG","YANLING NATURAL HYGIENE SDN. BHD., SELANGOR",14/12/2020,14/12/2025,New Product Registration
8,202010274415N,MAL201260 40N,NHF Omega 3 Fish Oil 400mg Capsule,"EXCEL HERBAL INDUSTRIES SDN. BHD,","EXCEL HERBAL INDUSTRIES SDN. BHD,",14/12/2020,14/12/2025,New Product Registration
9,202009024194N,MAL201260 41NC,LIFESENZE BIO- MAG 41.25mg TABLET,"HL PHARMACEUTICAL S SDN. BHD,","ESPRIT CARE SDN. BHD,",14/12/2020,14/12/2025,New Product Registration
10,202010134336N,MAL201260 42NC,HEALIN ZANIPLUS LIQUID,"HEALWELL PHARMACEUTICAL S SDN BHD,","HIGH VALLEY CONTRACT MANUFACTUR ING (GMP) SDN BHD,",14/12/2020,14/12/2025,New Product Registration
11,202009034212N,MAL201260 43NC,GNC MILESTONES KIDS OMEGA-3 DHA 255MG/2.5ML & EPA 170MG/2.5ML LIQUID,"ONI GLOBAL (MALAYSIA) SDN BHD,","CULTECH LIMITED,UNIT ED KINGDOM",14/12/2020,14/12/2025,New Product Registration
12,202011104472N,MAL201260 44NC,CAMERON BIOSCIENCE SACHA INCHI OIL + BORAGE OIL PLUS VEGETABLE SOFTGEL,"CAMERON BIOSCIENCE (M) SDN BHD,","ALPHA LABORATORIE S (NZ) LTD.,NEW ZEALAND",14/12/2020,14/12/2025,New Product Registration
