Product Name,Active Ingredient,Application Type,Product Registrant,Date of Approval,Registration No.
ABRYSVO POWDER AND SOLVENT FOR SOLUTION FOR INJECTION,"(Powder) RSV subgroup A stabilized prefusion F protein(0.06 mg/vial),(Powder) RSV subgroup B stabilized prefusion F protein(0.06 mg/vial)",NDA-1: New biological entity,PFIZER PRIVATE LIMITED,23/07/2024,SIN17049P
COMIRNATY ORIGINAL/OMICRON BA.4-5 CONCENTRATE FOR DISPERSION FOR INJECTION 1.5/1.5 MICROGRAMS/DOSE,"Famtozinameran(1.5 ?g/dose),Tozinameran(1.5 ?g/dose)","NDA-2: New dosage form, strength, combination",BIONTECH PHARMACEUTICALS ASIA PACIFIC PTE. LTD.,25/07/2024,SIN17053P
EYLEA SOLUTION FOR INJECTION 114.3 MG/ML,Aflibercept(114.3mg/ml),"NDA-2: New strength, dosing regimen",BAYER (SOUTH EAST ASIA) PTE LTD,05/07/2024,SIN17040P
LITFULO CAPSULE 50MG,Ritlecitinib Tosylate equivalent to Ritlecitinib(50mg),NDA-1: New chemical entity,PFIZER PRIVATE LIMITED,05/07/2024,SIN17041P
"MEGAPTH-G SOLUTION FOR INJECTION 20 MCG/80MCL CARTRIDGE PACK,MEGAPTH-G SOLUTION FOR INJECTION 20 MCG/80MCL PEN + CARTRIDGE PACK",Teriparatide(20 mcg/80 mcl),NDA-2: biosimilar,GOLDPLUS UNIVERSAL PTE LTD,24/07/2024,"SIN17051P,SIN17052P"
"PEMAZYRE TABLETS 13.5 MG,PEMAZYRE TABLETS 9 MG,PEMAZYRE TABLETS 4.5 MG","Pemigatinib(13.50 mg),Pemigatinib(9.00 mg),Pemigatinib(4.50 mg)",NDA-1: New chemical entityNDA-3: New strength,SPECIALISED THERAPEUTICS ASIA PTE LTD,09/07/2024,"SIN17044P,SIN17043P,SIN17042P"
MEKINIST® POWDER FOR ORAL SOLUTION 4.7 MG,Trametinib dimethylsulfoxide 5.30 mg eqv trametinib(4.7 mg),NDA-2: New presentation,NOVARTIS (SINGAPORE) PTE LTD,03/06/2024,SIN17018P
TAFINLAR DISPERSIBLE TABLET 10MG,Dabrafenib mesylate eqv Dabrafenib(10mg),NDA-2: New presentation,NOVARTIS (SINGAPORE) PTE LTD,03/06/2024,SIN17019P
TECENTRIQ SOLUTION FOR INJECTION 1875MG/15ML,Atezolizumab(1875 mg/15ml),NDA-2: New formulation,ROCHE SINGAPORE PTE. LTD.,27/06/2024,SIN17033P
ULTOMIRIS CONCENTRATE FOR SOLUTION FOR INFUSION 100 MG/ML,Ravulizumab(100 mg/mL),NDA-1: New biologcal entity,ASTRAZENECA SINGAPORE PTE LTD,19/06/2024,SIN17026P
